index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9430523917995444,0.04590487480163574,tampere
1,SVC,0.9326752720830169,0.5791933536529541,tampere
2,LogisticRegression,0.9349531764110351,0.04936695098876953,tampere
3,GradientBoostingClassifier,0.9098962288028347,7.348644256591797,tampere
4,XGBClassifier,0.9253353581371805,0.6884729862213135,tampere
5,MLPClassifier,0.9364717792963807,2.473914384841919,tampere
6,KNeighborsClassifier,0.8795241710959251,0.24040484428405762,tampere
7,AdaBoostClassifier,0.536573019488737,0.6341032981872559,tampere
8,RandomForestClassifier,0.8620602379144521,0.3038291931152344,tampere
9,GaussianNB,0.7679068590230321,0.015361785888671875,tampere
10,DecisionTreeClassifier,0.7727157681599595,0.039063215255737305,tampere
11,LinearDiscriminantAnalysis,0.9314097696785624,0.019159555435180664,tampere
12,QuadraticDiscriminantAnalysis,0.5299924069855733,0.0689089298248291,tampere
