index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9381443298969072,0.637763261795044,uts
1,SVC,0.9484536082474226,3.4445440769195557,uts
2,LogisticRegression,0.9536082474226805,1.5685615539550781,uts
3,GradientBoostingClassifier,0.845360824742268,43.76607799530029,uts
4,XGBClassifier,0.8969072164948454,8.493736267089844,uts
5,MLPClassifier,0.9510309278350515,4.8885252475738525,uts
6,KNeighborsClassifier,0.9381443298969072,0.13646650314331055,uts
7,AdaBoostClassifier,0.20876288659793815,2.887819290161133,uts
8,RandomForestClassifier,0.8144329896907216,1.6406097412109375,uts
9,GaussianNB,0.8402061855670103,0.010819196701049805,uts
10,DecisionTreeClassifier,0.8015463917525774,0.1968684196472168,uts
11,LinearDiscriminantAnalysis,0.9381443298969072,0.09694933891296387,uts
12,QuadraticDiscriminantAnalysis,0.4175257731958763,0.15150141716003418,uts
